"Step","Value","3tower-1 - success_rate__MIN","3tower-1 - success_rate__MAX"
"120000","0","0","0"
"240000","0","0","0"
"360000","0","0","0"
"480000","0","0","0"
"600000","0","0","0"
"720000","0","0","0"
"840000","0","0","0"
"960000","0","0","0"
"1080000","0","0","0"
"1200000","0","0","0"
"1320000","0","0","0"
"1440000","0","0","0"
"1560000","0","0","0"
"1680000","0","0","0"
"1800000","0","0","0"
"1920000","0","0","0"
"2040000","0","0","0"
"2160000","0","0","0"
"2280000","0","0","0"
"2400000","0","0","0"
"2520000","0","0","0"
"2640000","0","0","0"
"2760000","0","0","0"
"2880000","0","0","0"
"3000000","0","0","0"
"3120000","0","0","0"
"3240000","0","0","0"
"3360000","0","0","0"
"3480000","0","0","0"
"3600000","0","0","0"
"3720000","0","0","0"
"3840000","0","0","0"
"3960000","0","0","0"
"4080000","0","0","0"
"4200000","0","0","0"
"5200000","0","0","0"