"Step","Value","3p-1 - success_rate__MIN","3p-1 - success_rate__MAX"
"120000","0.01785714365541935","0.01785714365541935","0.01785714365541935"
"240000","0","0","0"
"360000","0","0","0"
"480000","0","0","0"
"600000","0","0","0"
"720000","0","0","0"
"840000","0","0","0"
"960000","0","0","0"
"1080000","0","0","0"
"1200000","0","0","0"
"1320000","0","0","0"
"1440000","0","0","0"
"1560000","0","0","0"
"1680000","0","0","0"
"1800000","0","0","0"
"1920000","0","0","0"
"2040000","0","0","0"
"2160000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2280000","0","0","0"
"2400000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2520000","0.017699114978313446","0.017699114978313446","0.017699114978313446"
"2640000","0","0","0"
"2760000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2880000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"3000000","0.01785714365541935","0.01785714365541935","0.01785714365541935"
"3120000","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"3240000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"3360000","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"3480000","0.07000000029802322","0.07000000029802322","0.07000000029802322"
"3600000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"3720000","0.07000000029802322","0.07000000029802322","0.07000000029802322"
"3840000","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"3960000","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"4080000","0.19417475163936615","0.19417475163936615","0.19417475163936615"
"4200000","0.12871287763118744","0.12871287763118744","0.12871287763118744"