"Step","3p-2 - success_rate","3p-2 - success_rate__MIN","3p-2 - success_rate__MAX"
"120000","0","0","0"
"240000","0","0","0"
"360000","0","0","0"
"480000","0","0","0"
"600000","0","0","0"
"720000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"840000","0","0","0"
"960000","0","0","0"
"1080000","0","0","0"
"1200000","0","0","0"
"1320000","0","0","0"
"1440000","0","0","0"
"1560000","0","0","0"
"1680000","0","0","0"
"1800000","0","0","0"
"1920000","0","0","0"
"2040000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2160000","0","0","0"
"2280000","0.01785714365541935","0.01785714365541935","0.01785714365541935"
"2400000","0","0","0"
"2520000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2640000","0","0","0"
"2760000","0.01785714365541935","0.01785714365541935","0.01785714365541935"
"2880000","0","0","0"
"3000000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"3120000","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"3240000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"3360000","0.02678571455180645","0.02678571455180645","0.02678571455180645"
"3480000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"3600000","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"3720000","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"3840000","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"3960000","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"4080000","0.13861386477947235","0.13861386477947235","0.13861386477947235"
"4200000","0.12999999523162842","0.12999999523162842","0.12999999523162842"
"4320000","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"4440000","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"4560000","0.1553398072719574","0.1553398072719574","0.1553398072719574"
"4680000","0.3100000023841858","0.3100000023841858","0.3100000023841858"
"4800000","0.33000001311302185","0.33000001311302185","0.33000001311302185"
"4920000","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"5040000","0.41999998688697815","0.41999998688697815","0.41999998688697815"
"5160000","0.38999998569488525","0.38999998569488525","0.38999998569488525"
"5280000","0.4099999964237213","0.4099999964237213","0.4099999964237213"
"5400000","0.47999998927116394","0.47999998927116394","0.47999998927116394"
"5520000","0.46000000834465027","0.46000000834465027","0.46000000834465027"
"5640000","0.5099999904632568","0.5099999904632568","0.5099999904632568"
"5760000","0.6899999976158142","0.6899999976158142","0.6899999976158142"
"5880000","0.5600000023841858","0.5600000023841858","0.5600000023841858"
"6000000","0.7400000095367432","0.7400000095367432","0.7400000095367432"
"6120000","0.7900000214576721","0.7900000214576721","0.7900000214576721"
"6240000","0.603960394859314","0.603960394859314","0.603960394859314"
"6360000","0.6200000047683716","0.6200000047683716","0.6200000047683716"
"6480000","0.699999988079071","0.699999988079071","0.699999988079071"
"6600000","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"6720000","0.7400000095367432","0.7400000095367432","0.7400000095367432"
"6840000","0.7799999713897705","0.7799999713897705","0.7799999713897705"
"6960000","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"7080000","0.8399999737739563","0.8399999737739563","0.8399999737739563"
"7200000","0.7200000286102295","0.7200000286102295","0.7200000286102295"
"7320000","0.8600000143051147","0.8600000143051147","0.8600000143051147"
"7440000","0.7599999904632568","0.7599999904632568","0.7599999904632568"
"7560000","0.8799999952316284","0.8799999952316284","0.8799999952316284"
"7680000","0.8600000143051147","0.8600000143051147","0.8600000143051147"
"7800000","0.9108911156654358","0.9108911156654358","0.9108911156654358"
"7920000","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"8040000","0.949999988079071","0.949999988079071","0.949999988079071"
"8160000","0.8799999952316284","0.8799999952316284","0.8799999952316284"
"8280000","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"8400000","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"8520000","0.949999988079071","0.949999988079071","0.949999988079071"
"8640000","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"8760000","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"8880000","0.949999988079071","0.949999988079071","0.949999988079071"
"9000000","0.9399999976158142","0.9399999976158142","0.9399999976158142"